Model_Name,Python_Version,Deployment_Architecture,Avg_Response_Time_ms,Current_RPS,Max_Response_Time_ms,Median_Response_Time_ms,Min_Response_Time_ms,Total_Requests,Total_Failures,Percentile_95th_ms,Percentile_99th_ms,Failure_Rate_percent
LightGBM,3.12,VM,75.33,427.2,212,57,4,317029,1182,140,150,0.37
LightGBM,3.9,VM,75.47,432.5,198,58,4,316597,925,140,150,0.29
Logistic_Regression,3.12,VM,60.43,475.0,261,46,3,362796,18806,110,150,5.18
XGBoost,3.12,VM,242.47,17.0,13304,49,4,98678,705,130,9200,0.71
CNN,3.12,VM,1538.10,22.9,4463,1200,73,15634,0,3100,3500,0.00
CNN,3.9,VM,1627.84,21.1,3756,1300,118,14766,0,3200,3300,0.00
LSTM,3.12,VM,1562.62,21.8,4421,1300,108,15381,0,3100,3400,0.00
LSTM,3.9,VM,1733.32,19.5,5516,1400,117,13868,0,3500,3800,0.00
Transformers,3.12,VM,1607.93,21.8,3557,1300,97,14960,0,3100,3300,0.00
Transformers,3.9,VM,1553.11,22.3,3602,1200,96,15483,0,3000,3200,0.00
Stacking_Traditional,3.12,VM,862.45,40.2,2881,690,39,27923,0,2000,2300,0.00
Stacking_DL,3.12,VM,4193.85,8.5,15403,3300,370,5702,0,9400,12000,0.00
LightGBM,3.12,ECS_Private_IP,28.60,953.8,192,21,2,771107,0,55,96,0.00
LightGBM,3.9,ECS_Private_IP,36.30,898.2,149,26,3,658467,0,68,77,0.00
Logistic_Regression,3.12,ECS_Private_IP,27.48,1016.4,141,20,2,796083,0,52,91,0.00
XGBoost,3.12,ECS_Private_IP,143.35,229.9,628,120,2,168068,0,340,440,0.00
CNN,3.12,ECS_Private_IP,1549.73,21.3,3115,1200,119,15510,0,2800,2900,0.00
CNN,3.9,ECS_Private_IP,1649.99,20.0,3356,1200,141,14569,0,3000,3100,0.00
LSTM,3.12,ECS_Private_IP,1496.35,22.3,4541,1100,100,16071,0,2800,2800,0.00
LSTM,3.9,ECS_Private_IP,1491.15,22.6,3034,1100,104,16128,0,2700,2800,0.00
Transformers,3.12,ECS_Private_IP,1564.93,21.0,3122,1200,107,15363,0,2900,2900,0.00
Transformers,3.9,ECS_Private_IP,1565.98,21.1,3270,1200,96,15345,0,3000,3100,0.00
Stacking_Traditional,3.12,ECS_Private_IP,689.74,51.5,1535,540,25,34920,0,1300,1400,0.00
Stacking_DL,3.12,ECS_Private_IP,3519.73,9.5,6774,2700,281,6804,0,6400,6500,0.00
LightGBM,3.12,ECS_Public_IP,28.54,990.9,171,22,3,773010,0,53,92,0.00
LightGBM,3.9,ECS_Public_IP,497.93,66.6,5131,23,2,48062,48062,5000,5100,100.00
Logistic_Regression,3.12,ECS_Public_IP,28.41,953.8,143,21,2,770214,0,55,96,0.00
XGBoost,3.12,ECS_Public_IP,147.81,201.9,624,120,2,162946,0,350,430,0.00
CNN,3.12,ECS_Public_IP,1615.46,20.4,3295,1200,130,14879,0,3000,3100,0.00
CNN,3.9,ECS_Public_IP,1650.43,20.5,3253,1200,137,14561,0,3000,3100,0.00
LSTM,3.12,ECS_Public_IP,1138.10,29.2,2482,860,73,21142,0,2100,2200,0.00
LSTM,3.9,ECS_Public_IP,1500.69,22.1,3057,1100,98,16025,0,2700,2800,0.00
Transformers,3.12,ECS_Public_IP,1570.94,21.3,3155,1200,110,15308,0,2900,3000,0.00
Transformers,3.9,ECS_Public_IP,1562.41,21.6,3170,1200,134,15385,0,2900,2900,0.00
Stacking_Traditional,3.12,ECS_Public_IP,698.59,48.3,1504,550,24,34473,0,1300,1400,0.00
Stacking_DL,3.12,ECS_Public_IP,3572.07,9.4,6808,2700,231,6705,0,6500,6600,0.00
LightGBM,3.12,ECS_3Task_LoadBalanced,18.53,1196.3,114,14,2,963678,0,38,63,0.00
LightGBM,3.9,ECS_3Task_LoadBalanced,61.62,495.9,505,5,2,388376,0,330,420,0.00
Logistic_Regression,3.12,ECS_3Task_LoadBalanced,17.87,1247.8,88,14,2,984684,0,37,59,0.00
XGBoost,3.12,ECS_3Task_LoadBalanced,90.25,398.2,965,34,3,266418,0,370,760,0.00
CNN,3.12,ECS_3Task_LoadBalanced,516.59,47.7,2634,150,52,46579,0,2400,2500,0.00
CNN,3.9,ECS_3Task_LoadBalanced,548.61,52.5,4416,150,54,43860,0,2600,2800,0.00
LSTM,3.12,ECS_3Task_LoadBalanced,549.67,50.6,3106,160,54,43753,0,2700,2800,0.00
LSTM,3.9,ECS_3Task_LoadBalanced,573.15,49.5,3181,130,52,41945,0,2800,2900,0.00
Transformers,3.12,ECS_3Task_LoadBalanced,533.15,53.5,2655,260,55,45142,0,2300,2500,0.00
Transformers,3.9,ECS_3Task_LoadBalanced,546.40,48.5,2897,170,56,44009,0,2500,2600,0.00
Stacking_Traditional,3.12,ECS_3Task_LoadBalanced,177.24,176.7,1159,54,10,135891,0,780,970,0.00
Stacking_DL,3.12,ECS_3Task_LoadBalanced,1340.29,26.0,6747,430,97,17945,0,3700,6100,0.00 
